"age_group","Influenza_percentage","RSV_percentage","report_no"
"00-01",8.5,60,"2022/40"
"02-04",6.7,6.7,"2022/40"
"05-14",35.1,0,"2022/40"
"15-34",0,0,"2022/40"
"35-59",0,62.8,"2022/40"
"60+",0,0,"2022/40"
